term,combo_label
“天行赤眼”等。 目赤肿痛常见于西医学的急性结膜炎,excess_hot_internal_yang
习惯性抽搐。中医认为引起抽搐的病因病机主要有热毒内盛,excess_hot_internal_yang
亦可引起胃热（胃火）。中医分为热郁胃中,excess_hot_internal_yang
传染性结膜炎,excess_hot_internal_yang
但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生,excess_hot_internal_yang
假性结膜炎以及流行性角膜炎等,excess_hot_internal_yang
其他器官的疾病也可引起腰痛。如泌尿系炎症或结石,excess_hot_internal_yang
劳淋六证。基本病机为湿热蕴结下焦,excess_hot_internal_yang
即火痰也。”证见烦热燥结,excess_hot_internal_yang
可分为细菌性结膜炎和病毒性结膜炎两类,excess_hot_internal_yang
咽结膜热,excess_hot_internal_yang
均称“烦热”。多由于里热过盛,excess_hot_internal_yang
子宫内膜炎等引起的经期延长。宫内节育器和输卵管结扎后引起的经期延长也按本病治疗。本病一般预后良好。,excess_hot_internal_yang
容易在体内积累毒素,excess_hot_internal_yang
属里实热证,excess_hot_internal_yang
急性梗阻性化脓性胆管炎等,excess_hot_internal_yang
患者常有传染病接触史。本病与西医学之急性传染性结膜炎相似。,excess_hot_internal_yang
或痰火暴亢,excess_hot_internal_yang
是热病后余毒结于颐颌间引起的急性化脓性疾病。临床特点是常发生于热病后期,excess_hot_internal_yang
沙眼是由沙眼衣原体引起的一种慢性传染性结膜角膜炎,excess_hot_internal_yang
湿热痢重症。多因湿浊热毒蕴结肠中,excess_hot_internal_yang
湿热等邪气痹阻腰膝所致。,excess_hot_internal_yang
湿热蕴结于下焦,excess_hot_internal_yang
湿热阻于肾与膀胱,excess_hot_internal_yang
溃面有糜烂的现象。中医认为由脾胃积热,excess_hot_internal_yang
甚至溃疡久不愈合。多由心脾积热,excess_hot_internal_yang
病症名。多为胞内有实热,excess_hot_internal_yang
病证名。指痰热壅阻于肺,excess_hot_internal_yang
痰热阻肺,excess_hot_internal_yang
目赤是指眼结膜充血,excess_hot_internal_yang
结膜炎也可以引起畏光,excess_hot_internal_yang
结膜炎时大都有不同程度的畏光流泪。多见于角膜异物,excess_hot_internal_yang
肺热咳嗽是由于肺内郁热,excess_hot_internal_yang
肺痈是指由于热毒瘀结于肺,excess_hot_internal_yang
胃肠实热而引起。,excess_hot_internal_yang
茯苓补心汤等方。火郁而宜升发者,excess_hot_internal_yang
阳热内盛,excess_hot_internal_yang
风和热相结合的病邪,excess_hot_internal_yang
“寒”在中医中还指病理产物之寒积聚在人体经脉脏腑中,cold_excess_internal_yang_yin
不清洁的脐带结扎,cold_excess_internal_yang_yin
中医病症名。指因痰盛气闭而引起四肢厥冷,cold_excess_internal_yang_yin
为冷结在膀胱关元,cold_excess_internal_yang_yin
寒湿结于肠腑,cold_excess_internal_yang_yin
无法正常运化水湿而使寒凉之气停滞在人体经脉脏腑中,cold_excess_internal_yang_yin
肝郁气滞致白发。,cold_excess_internal_yang_yin
闭塞清阳所致眩晕。见《医学正传·眩运》。《杂病源流犀烛·头痛源流》：“风痰闭壅眩晕,cold_excess_internal_yang_yin
一曰风助火郁于上,excess_hot_yang
二曰火盛,excess_hot_yang
壅阻少阳经脉引起的时行疾病。以发热,excess_hot_yang
外界温度变化和过度吸烟亦可引起。呃逆频繁或持续24小时以上,excess_hot_yang
多属实火,excess_hot_yang
宜温补汤。痛而拒按为实,excess_hot_yang
或热盛耗伤津液,excess_hot_yang
沙石淋。多因下焦积热,excess_hot_yang
热壅,excess_hot_yang
用火郁汤加减。亦可选用知柏地黄丸,excess_hot_yang
留滞生热,excess_hot_yang
舌红苔黄等热盛之症。,excess_hot_yang
邪毒亢盛,excess_hot_yang
一般将虚热进一步分为阴虚火旺和气虚火旺两种病状。,deficiency_hot_yang_yin
个别部位干燥脱皮,deficiency_hot_yang_yin
又称气阴两伤。气虚和阴虚同时并见的病理变化。常见于热性病过程中,deficiency_hot_yang_yin
或阴虚火旺,deficiency_hot_yang_yin
故令身体虚热,deficiency_hot_yang_yin
热等邪气乘虚而入,deficiency_hot_yang_yin
甚至每个小时都出现。天气和环境温度可加重潮热的发作。中医一般认为病机为阴虚,deficiency_hot_yang_yin
虚火上扰,deficiency_hot_yang_yin
虚火上浮而致,deficiency_hot_yang_yin
虚热,deficiency_hot_yang_yin
邪热乘虚客于胸中,deficiency_hot_yang_yin
阳热不足的病理现象。阳气有温暖肢体,deficiency_hot_yang_yin
阴津亏虚则夜热。,deficiency_hot_yang_yin
阴虚火旺,deficiency_hot_yang_yin
也有虚实寒热之别,cold_deficiency_excess_hot_yang_yin
寒热虚实夹杂者宜通涩兼施,cold_deficiency_excess_hot_yang_yin
但有实火与虚火的区别,deficiency_excess_hot_yang_yin
多由热盛伤津或阴液亏虚所致,deficiency_excess_hot_yang_yin
内热进而化虚火。根据病机不同,deficiency_hot_internal_yang_yin
属于阴虚内热的症候,deficiency_hot_internal_yang_yin
并自觉心胸烦热。多由阴虚火旺,deficiency_hot_internal_yang_yin
病状名。指面部呈现枯萎晦黄的病色。多因脾胃虚弱,deficiency_hot_internal_yang_yin
肝火或阴虚火旺所致。常见于中医学的暴风客热,deficiency_hot_internal_yang_yin
虚弱而生内热,deficiency_hot_internal_yang_yin
阳痿多因命门火衰或心脾受损或恐惧伤肾所致。,deficiency_hot_internal_yang_yin
即手足发凉冷。又称四逆,cold_excess_yang_yin
或产时感受外寒而气血凝滞所致,cold_excess_yang_yin
排尿困难及小便完全闭寒不通。出《伤寒论·辨太阳病脉证并治》。,cold_excess_yang_yin
脘腹及四肢关节等处。因寒邪阻络所致,cold_excess_yang_yin
这种寒多为“实寒”。另一方面,cold_excess_yang_yin
即由于外来之寒邪或者是人体脾肾阳虚所生之内寒停滞在女性胞宫,cold_deficiency_excess_internal_yang_yin
咳嗽等症状。由脾肾虚寒引起的,cold_deficiency_internal_yin
寒疝是一种急性腹痛的病症。见《金匮要略》。由脾胃虚寒,cold_deficiency_internal_yin
或脾胃虚寒不能运化水谷,cold_deficiency_internal_yin
有肥白气虚多痰人,cold_deficiency_internal_yin
肝经虚寒,cold_deficiency_internal_yin
须发早白是一种疾病。在中医学则认为发须早白主要有以下列三种主要原因：肾阴亏损致白发,cold_deficiency_internal_yin
因感受风邪或风热怫郁而发的病证。《泰定养生主论》：“风痰者,excess_external_hot_internal_yang
因风热客于肠胃或湿热蕴积肠胃,excess_external_hot_internal_yang
或因风热怫郁而然也。此皆素抱痰疾者,excess_external_hot_internal_yang
牙龈（gingiva）是指覆盖于牙槽突表面和牙颈部周围的口腔黏膜上皮及其下方的结缔组织。牙龈肿痛主要是牙龈有炎症而表现出的一种症状,excess_external_hot_internal_yang
证名。自觉头部胀重不适。外感内伤均可引起。外感多因湿热郁蒸所致。,excess_external_hot_internal_yang
多见于阳虚虚寒的病人,cold_deficiency_yang_yin
男子因真阳不足而引起精气清冷,cold_deficiency_yang_yin
阳气不足则早凉,cold_deficiency_yang_yin
容易出现虚寒的征象。常见的有胃阳虚,cold_deficiency_internal_yang_yin
肾阳虚等。阳虚主证为畏寒肢冷,cold_deficiency_internal_yang_yin
这种病理产物的寒可由人体脾肾阳虚,cold_deficiency_internal_yang_yin
属祖国医学“虚劳”范畴。中医治疗白细胞减少症采用益气养血,cold_deficiency_yin
虚脱是以面色苍白,cold_deficiency_yin
这种寒多为“虚寒”。所以,cold_deficiency_yin
面色苍白（pale complexion）是由于脸部毛细血管充盈不足引起,cold_deficiency_yin
或病后虚热不清及火热内郁所致。是虚损劳瘵等病的常见症之一。治宜滋阴降火,cold_deficiency_excess_hot_internal_yang_yin
病机有寒热虚实之分。咳喘与痰密切相关,cold_deficiency_excess_hot_internal_yang_yin
指伤口或疮口表面上由血小板和纤维蛋白凝结而成的块状物,cold_excess_external_internal_yang_yin
有时在睑结膜表面形成一层灰白色假膜,cold_excess_external_internal_yang_yin
指正气虚而兼有内寒的症候。表面为食欲不振,cold_deficiency_external_internal_yin
气郁化火而寻致胃阴耗伤。其主要临床表现是：胃部隐痛,excess_external_hot_internal_yang_yin
燥咳是病名。是因肺虚液少或燥邪伤肺所致的咳嗽。其证咳嗽痰少,deficiency_external_hot_internal_yang_yin
营血虚热致白发,cold_deficiency_hot_yang_yin
阴阳相胜也。阳不足则先寒后热,cold_deficiency_hot_yang_yin
虚烦是因虚而致心胸烦热者。由伤寒汗,cold_deficiency_hot_internal_yang_yin
阴不足则先热后寒。”其病机是邪入半表半里,cold_deficiency_external_hot_internal_yang_yin
